account_id,campaign_id,creative_id,date,impressions_id,in_view_time
7507098694667085048,320,33548,2017-04-01,8687955,17099
6486996039096012081,320,33548,2017-04-01,83653769,16910
1411674817065503211,320,33548,2017-04-01,85912546,55
6141643873342118442,320,33548,2017-04-01,13399951,11475
7108082748543081624,320,33548,2017-03-31,97197597,177
6930043083799372306,320,33548,2017-03-31,20279852,14889
2058178194706577148,320,33548,2017-04-02,31100317,8711
1405119970834767367,320,33548,2017-04-01,70360059,99
950417810732052216,320,33548,2017-04-01,6041721,133
2711352311622917992,320,33548,2017-04-01,629495,12574
4276265422889268557,320,33548,2017-04-02,333190,7573
1985041376799966645,320,33548,2017-04-01,41088576,15250
1049494888811405034,320,33548,2017-04-01,298676025246,7356
2110785435233341832,320,33548,2017-04-01,54640464,30019
7671646147296817925,320,33548,2017-04-02,30510225,8090
373007825478980841,320,33548,2017-04-02,17443963,7666
123252963702621883,320,33548,2017-04-02,9222652,358
1420802210384395949,320,33548,2017-04-02,29924988,11391
4460649339131281162,320,33548,2017-04-01,51864896,290
3506007750503376620,320,33548,2017-04-02,305105686078,23988
702969157555427763,320,33548,2017-04-01,79568313,19183
3554463047986148129,320,33548,2017-04-02,74949046,
6987418328430415667,320,33548,2017-03-31,50475078,23576
381742433424558422,320,33548,2017-04-02,7855478,15221
2012310762038310839,320,33548,2017-04-02,86145780,32580
7452086140350961922,320,33548,2017-04-02,42289644,130
871875583528467101,320,33548,2017-04-01,80478943,107
5504784990054721540,320,33548,2017-04-01,257089388426,
4760672759236942548,320,33548,2017-04-01,74533834,50
3037172167794809882,320,33548,2017-04-01,14401632,
2030166542691272708,320,33548,2017-04-01,45497006,30156
8330121463946609022,320,33548,2017-04-02,11987433,
7356932677218258974,320,33548,2017-04-01,97689212,
7507098694667085048,320,33548,2017-04-01,8687955,13087
6448192553971509949,320,33548,2017-04-02,90184078,
664601894825850171,320,33548,2017-04-01,81924133,
5986502898832428179,320,33548,2017-04-01,36413624,150
5206348740272031787,320,33548,2017-04-01,608953,
868159042968987806,320,33548,2017-04-01,81148574,
995082063851299501,320,33548,2017-04-01,25262362,8226
6865486056325672402,320,33548,2017-04-02,54252931,11781
7083666137138731708,320,33548,2017-04-01,57079349,15097
6366526769787662753,320,33548,2017-04-01,574024688762,3788
2926800351579440965,320,33548,2017-03-31,27642017,3720
6461535201022541197,320,33548,2017-04-01,65937917,15196
6416361513251004260,320,33548,2017-04-01,64061346,15670
956444909753842718,320,33548,2017-04-01,61242310,
7638991645935281267,320,33548,2017-04-01,5623388,15134
5979544841861674713,320,33548,2017-04-01,37654902,26
4496216405254952639,320,33548,2017-04-02,63136902,7742
8566822552635018208,320,33548,2017-04-02,88531318,12244
4101111365069185793,320,33548,2017-04-01,7845447,45
8689409282210214419,320,33548,2017-04-01,3405393,7626
8613505181778939211,320,33548,2017-04-01,44471640,
463118753193277280,320,33548,2017-04-02,2183229,159
7038896693009471521,320,33548,2017-04-01,90448660,
6868723461260901566,320,33548,2017-04-01,56594946,3514
3638098926111274718,320,33548,2017-04-01,82740685,65
871875583528467101,320,33548,2017-04-01,26059020,30399
1377594154053498619,320,33548,2017-04-01,8646576,7579
3454716992726504053,320,33548,2017-04-01,70517127,33
7352308661408084979,320,33548,2017-04-01,847581169341,29763
5860073175053441557,320,33548,2017-04-02,46238689,30670
4582563798454705145,320,33548,2017-04-01,23062122,7485
4108371412067536941,320,33548,2017-04-02,94980777,7486
4292863246730434663,320,33548,2017-04-02,11152031,7771
4454123388989246004,320,33548,2017-04-02,567661933253,7
1677450078189088539,320,33548,2017-04-01,51061269,15104
3798234353961626713,320,33548,2017-04-01,16806486,15232
946179443622887784,320,33548,2017-04-01,445250184829,1477
4643039185092750216,320,33548,2017-04-01,6407093,83
3854535620447235149,320,33548,2017-04-01,39316635,80
96470205777477442,320,33548,2017-04-02,76213710,15521
3767274671138019212,320,33548,2017-04-01,12247200,
2729336658782013155,320,33548,2017-04-01,67214917,7733
4644594519370439548,320,33548,2017-04-01,92880831,
3272169438013790318,320,33548,2017-04-01,24607749,3827
7326258983577522935,320,33548,2017-04-01,83476759,685
569930126680134150,320,33548,2017-04-02,87220524,8654
7418456850313207433,320,33548,2017-04-01,23745920,11588
3701962436576604766,320,33548,2017-04-01,68605657,13433
3161925524020940788,320,33548,2017-04-01,38241195,3474
6752312837241389731,320,33548,2017-04-01,944727998692,4
434749217594515616,320,33548,2017-04-01,62798512,128
4619113851772012412,320,33548,2017-03-22,36737419,15432
5649005754021743343,320,33548,2017-04-01,60624503,29755
1791866747345814907,320,33548,2017-04-01,31209456,3788
